,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Sepal.Ratio,Petal.Ratio
40,5.0,3.5,1.3,0.3,setosa,1.42857142857,4.33333333333
41,4.5,2.3,1.3,0.3,setosa,1.95652173913,4.33333333333
42,4.4,3.2,1.3,0.2,setosa,1.375,6.5
43,5.0,3.5,1.6,0.6,setosa,1.42857142857,2.66666666667
44,5.1,3.8,1.9,0.4,setosa,1.34210526316,4.75
45,4.8,3.0,1.4,0.3,setosa,1.6,4.66666666667
46,5.1,3.8,1.6,0.2,setosa,1.34210526316,8.0
47,4.6,3.2,1.4,0.2,setosa,1.4375,7.0
48,5.3,3.7,1.5,0.2,setosa,1.43243243243,7.5
49,5.0,3.3,1.4,0.2,setosa,1.51515151515,7.0
50,7.0,3.2,4.7,1.4,versicolor,2.1875,3.35714285714
51,6.4,3.2,4.5,1.5,versicolor,2.0,3.0
52,6.9,3.1,4.9,1.5,versicolor,2.22580645161,3.26666666667
53,5.5,2.3,4.0,1.3,versicolor,2.39130434783,3.07692307692
54,6.5,2.8,4.6,1.5,versicolor,2.32142857143,3.06666666667
55,5.7,2.8,4.5,1.3,versicolor,2.03571428571,3.46153846154
56,6.3,3.3,4.7,1.6,versicolor,1.90909090909,2.9375
57,4.9,2.4,3.3,1.0,versicolor,2.04166666667,3.3
58,6.6,2.9,4.6,1.3,versicolor,2.27586206897,3.53846153846
59,5.2,2.7,3.9,1.4,versicolor,1.92592592593,2.78571428571
60,5.0,2.0,3.5,1.0,versicolor,2.5,3.5
61,5.9,3.0,4.2,1.5,versicolor,1.96666666667,2.8
62,6.0,2.2,4.0,1.0,versicolor,2.72727272727,4.0
63,6.1,2.9,4.7,1.4,versicolor,2.10344827586,3.35714285714
64,5.6,2.9,3.6,1.3,versicolor,1.93103448276,2.76923076923
65,6.7,3.1,4.4,1.4,versicolor,2.16129032258,3.14285714286
66,5.6,3.0,4.5,1.5,versicolor,1.86666666667,3.0
67,5.8,2.7,4.1,1.0,versicolor,2.14814814815,4.1
68,6.2,2.2,4.5,1.5,versicolor,2.81818181818,3.0
69,5.6,2.5,3.9,1.1,versicolor,2.24,3.54545454545
70,5.9,3.2,4.8,1.8,versicolor,1.84375,2.66666666667
71,6.1,2.8,4.0,1.3,versicolor,2.17857142857,3.07692307692
72,6.3,2.5,4.9,1.5,versicolor,2.52,3.26666666667
73,6.1,2.8,4.7,1.2,versicolor,2.17857142857,3.91666666667
74,6.4,2.9,4.3,1.3,versicolor,2.20689655172,3.30769230769
75,6.6,3.0,4.4,1.4,versicolor,2.2,3.14285714286
76,6.8,2.8,4.8,1.4,versicolor,2.42857142857,3.42857142857
77,6.7,3.0,5.0,1.7,versicolor,2.23333333333,2.94117647059
78,6.0,2.9,4.5,1.5,versicolor,2.06896551724,3.0
79,5.7,2.6,3.5,1.0,versicolor,2.19230769231,3.5
80,5.5,2.4,3.8,1.1,versicolor,2.29166666667,3.45454545455
81,5.5,2.4,3.7,1.0,versicolor,2.29166666667,3.7
82,5.8,2.7,3.9,1.2,versicolor,2.14814814815,3.25
83,6.0,2.7,5.1,1.6,versicolor,2.22222222222,3.1875
84,5.4,3.0,4.5,1.5,versicolor,1.8,3.0
85,6.0,3.4,4.5,1.6,versicolor,1.76470588235,2.8125
86,6.7,3.1,4.7,1.5,versicolor,2.16129032258,3.13333333333
87,6.3,2.3,4.4,1.3,versicolor,2.73913043478,3.38461538462
88,5.6,3.0,4.1,1.3,versicolor,1.86666666667,3.15384615385
89,5.5,2.5,4.0,1.3,versicolor,2.2,3.07692307692
90,5.5,2.6,4.4,1.2,versicolor,2.11538461538,3.66666666667
91,6.1,3.0,4.6,1.4,versicolor,2.03333333333,3.28571428571
92,5.8,2.6,4.0,1.2,versicolor,2.23076923077,3.33333333333
93,5.0,2.3,3.3,1.0,versicolor,2.17391304348,3.3
94,5.6,2.7,4.2,1.3,versicolor,2.07407407407,3.23076923077
95,5.7,3.0,4.2,1.2,versicolor,1.9,3.5
96,5.7,2.9,4.2,1.3,versicolor,1.96551724138,3.23076923077
97,6.2,2.9,4.3,1.3,versicolor,2.13793103448,3.30769230769
98,5.1,2.5,3.0,1.1,versicolor,2.04,2.72727272727
99,5.7,2.8,4.1,1.3,versicolor,2.03571428571,3.15384615385
100,6.3,3.3,6.0,2.5,virginica,1.90909090909,2.4
101,5.8,2.7,5.1,1.9,virginica,2.14814814815,2.68421052632
102,7.1,3.0,5.9,2.1,virginica,2.36666666667,2.80952380952
103,6.3,2.9,5.6,1.8,virginica,2.1724137931,3.11111111111
104,6.5,3.0,5.8,2.2,virginica,2.16666666667,2.63636363636
105,7.6,3.0,6.6,2.1,virginica,2.53333333333,3.14285714286
106,4.9,2.5,4.5,1.7,virginica,1.96,2.64705882353
107,7.3,2.9,6.3,1.8,virginica,2.51724137931,3.5
108,6.7,2.5,5.8,1.8,virginica,2.68,3.22222222222
109,7.2,3.6,6.1,2.5,virginica,2.0,2.44
110,6.5,3.2,5.1,2.0,virginica,2.03125,2.55
111,6.4,2.7,5.3,1.9,virginica,2.37037037037,2.78947368421
112,6.8,3.0,5.5,2.1,virginica,2.26666666667,2.61904761905
113,5.7,2.5,5.0,2.0,virginica,2.28,2.5
114,5.8,2.8,5.1,2.4,virginica,2.07142857143,2.125
115,6.4,3.2,5.3,2.3,virginica,2.0,2.30434782609
116,6.5,3.0,5.5,1.8,virginica,2.16666666667,3.05555555556
117,7.7,3.8,6.7,2.2,virginica,2.02631578947,3.04545454545
118,7.7,2.6,6.9,2.3,virginica,2.96153846154,3.0
119,6.0,2.2,5.0,1.5,virginica,2.72727272727,3.33333333333
120,6.9,3.2,5.7,2.3,virginica,2.15625,2.47826086957
121,5.6,2.8,4.9,2.0,virginica,2.0,2.45
122,7.7,2.8,6.7,2.0,virginica,2.75,3.35
123,6.3,2.7,4.9,1.8,virginica,2.33333333333,2.72222222222
124,6.7,3.3,5.7,2.1,virginica,2.0303030303,2.71428571429
125,7.2,3.2,6.0,1.8,virginica,2.25,3.33333333333
126,6.2,2.8,4.8,1.8,virginica,2.21428571429,2.66666666667
127,6.1,3.0,4.9,1.8,virginica,2.03333333333,2.72222222222
128,6.4,2.8,5.6,2.1,virginica,2.28571428571,2.66666666667
129,7.2,3.0,5.8,1.6,virginica,2.4,3.625
130,7.4,2.8,6.1,1.9,virginica,2.64285714286,3.21052631579
131,7.9,3.8,6.4,2.0,virginica,2.07894736842,3.2
132,6.4,2.8,5.6,2.2,virginica,2.28571428571,2.54545454545
133,6.3,2.8,5.1,1.5,virginica,2.25,3.4
134,6.1,2.6,5.6,1.4,virginica,2.34615384615,4.0
135,7.7,3.0,6.1,2.3,virginica,2.56666666667,2.65217391304
136,6.3,3.4,5.6,2.4,virginica,1.85294117647,2.33333333333
137,6.4,3.1,5.5,1.8,virginica,2.06451612903,3.05555555556
138,6.0,3.0,4.8,1.8,virginica,2.0,2.66666666667
139,6.9,3.1,5.4,2.1,virginica,2.22580645161,2.57142857143
140,6.7,3.1,5.6,2.4,virginica,2.16129032258,2.33333333333
141,6.9,3.1,5.1,2.3,virginica,2.22580645161,2.21739130435
142,5.8,2.7,5.1,1.9,virginica,2.14814814815,2.68421052632
143,6.8,3.2,5.9,2.3,virginica,2.125,2.5652173913
144,6.7,3.3,5.7,2.5,virginica,2.0303030303,2.28
145,6.7,3.0,5.2,2.3,virginica,2.23333333333,2.26086956522
146,6.3,2.5,5.0,1.9,virginica,2.52,2.63157894737
147,6.5,3.0,5.2,2.0,virginica,2.16666666667,2.6
148,6.2,3.4,5.4,2.3,virginica,1.82352941176,2.34782608696
149,5.9,3.0,5.1,1.8,virginica,1.96666666667,2.83333333333
